origem,destino,peso
1QbOvACeYanja5pbnJbAmk,0Npdhq5RUQ3C5clbzOZmtQ,0.308308
1QbOvACeYanja5pbnJbAmk,6uy0EH7owLvJrUKsiqW8oS,0.313647
1QbOvACeYanja5pbnJbAmk,1czrV52qlUec3aPirLYYcL,0.282762
1QbOvACeYanja5pbnJbAmk,11y8GSP2ASv8S9n0FiiDva,0.320326
1QbOvACeYanja5pbnJbAmk,59IPT6zHHTfZhY2ubtAVeL,0.241055
1QbOvACeYanja5pbnJbAmk,4pMRIhO6qGmtEIBurzIutp,0.337501
1QbOvACeYanja5pbnJbAmk,5D2cMPwNY9Ftb7vqInLLQK,0.346378
5y2j0voADwpD6ZDGSxdnd7,0dA9bpWJw0yejIthqosxKb,0.129848
5y2j0voADwpD6ZDGSxdnd7,7A2YSo9trGZ9OlO7w2DICx,0.132504
5y2j0voADwpD6ZDGSxdnd7,6kTk6AOcnPguvs1nQ4vUWZ,0.158339
5y2j0voADwpD6ZDGSxdnd7,7Kqr46BBaC5UOdnDkL65YG,0.131154
5y2j0voADwpD6ZDGSxdnd7,1PaIRzJB1zB0jCxUPrW9OV,0.162966
5y2j0voADwpD6ZDGSxdnd7,7HUlOKnGX8VZjwSCdd6N7X,0.185567
5y2j0voADwpD6ZDGSxdnd7,1DSf23IQgLUFAABgklPday,0.178906
62XZ7yQ1unC3jGGUK3HAJp,2KBudV1Lf6ZDIS9hi60Lc5,0.171579
62XZ7yQ1unC3jGGUK3HAJp,2RNeNeEbmvfvNcnNR5pSDR,0.182841
62XZ7yQ1unC3jGGUK3HAJp,2D2Ls7ydktNls6Dy3lm0Za,0.189738
62XZ7yQ1unC3jGGUK3HAJp,3nk5Erbb2B36oA4Y8K6hcO,0.132647
62XZ7yQ1unC3jGGUK3HAJp,3GG9WXxmHL5zGm7hXwCe7L,0.134925
62XZ7yQ1unC3jGGUK3HAJp,2XUI84SYtTxy6bPi0nThMV,0.186757
62XZ7yQ1unC3jGGUK3HAJp,18q0I5Mz5TbxMf4cWSKql9,0.197969
3po0bTgwYIsUIiYPGSJUZr,1vGKGe8os1xUphjwyYxhju,0.28567
3po0bTgwYIsUIiYPGSJUZr,0DAMv2If2x4wHf7q7MZQna,0.293901
3po0bTgwYIsUIiYPGSJUZr,6rGz0FddK18McPSG6lNlip,0.30418
3po0bTgwYIsUIiYPGSJUZr,0F0Hu3MIenJyvk7rdt00L4,0.278025
3po0bTgwYIsUIiYPGSJUZr,41fQMNPgj3QnyAFJhEepKx,0.305337
3po0bTgwYIsUIiYPGSJUZr,0dA9bpWJw0yejIthqosxKb,0.30716
3po0bTgwYIsUIiYPGSJUZr,58UKC45GPNTflCN6nwCUeF,0.307917
3RkQ3UwOyPqpIiIvGVewuU,0IKFxQz9YhhnibrGnGSeUw,0.432963
3RkQ3UwOyPqpIiIvGVewuU,5nzZGxQGfIc117nKyCQV8G,0.413687
3RkQ3UwOyPqpIiIvGVewuU,52RNWUgJBF3LOqt3iw1s77,0.43546
3RkQ3UwOyPqpIiIvGVewuU,47sNDR69VgN2NboGRc9Yyo,0.444933
3RkQ3UwOyPqpIiIvGVewuU,2Jun5XTPvYxgMArwdDT4Vy,0.446745
3RkQ3UwOyPqpIiIvGVewuU,351cvJkC8Vu4gPT4YMl3Ac,0.437402
6nSPmeeGu3GFssIk4UnDYw,0Q7Jp3aCwfYnSnbMDoXWyR,0.253539
6nSPmeeGu3GFssIk4UnDYw,5BJSIhaHPpnTkAahlmOQ1h,0.21397
6nSPmeeGu3GFssIk4UnDYw,0EnvJBejWaMxn3qAvWV4B9,0.261146
6nSPmeeGu3GFssIk4UnDYw,1x41485hXYMS0PNICGph1X,0.176476
6nSPmeeGu3GFssIk4UnDYw,3ovpz51ql3sXfcDc66DNFb,0.245102
6nSPmeeGu3GFssIk4UnDYw,3PB2otu6Z5yToA9irqF1fN,0.115496
6nSPmeeGu3GFssIk4UnDYw,0vswnzoKvhNkT1ehc0Tt19,0.272013
0jSdF4nTvsqfWwLmEqoH15,79YGRx3inck94sMnnsR3ra,0.155762
0jSdF4nTvsqfWwLmEqoH15,2LawezPeJhN4AWuSB0GtAU,0.171784
0jSdF4nTvsqfWwLmEqoH15,5anbo4JjAPHa8UbEmRls05,0.182304
0jSdF4nTvsqfWwLmEqoH15,4DNBm8arpcX9ryR99JYE4y,0.176405
0jSdF4nTvsqfWwLmEqoH15,4xUCKWVzabAVInYPBiiFv4,0.104166
0jSdF4nTvsqfWwLmEqoH15,6rGz0FddK18McPSG6lNlip,0.185823
0jSdF4nTvsqfWwLmEqoH15,1PaIRzJB1zB0jCxUPrW9OV,0.189329
3hLuHKzG1cmlRpq53ZVWd8,5cYFwgA5dHoqR3xGnlr9ew,0.144466
3hLuHKzG1cmlRpq53ZVWd8,4BPcGND7l0vR0D2Ky8mJP1,0.144466
3hLuHKzG1cmlRpq53ZVWd8,6rFesOvUui282rDwAm8zLo,0.189543
3hLuHKzG1cmlRpq53ZVWd8,1RApeFN2al65TwLqQ2cVho,0.191655
3hLuHKzG1cmlRpq53ZVWd8,2wrJq5XKLnmhRXHIAf9xBa,0.191049
3hLuHKzG1cmlRpq53ZVWd8,42Do6gNxZctRhhWKw55RJ5,0.192278
3hLuHKzG1cmlRpq53ZVWd8,4rhIB4nVYTvB7wi6SrLp6z,0.220368
2vtwuaAGoDPlsLujnfTYEu,6qBJhWis1EGlcDvC74PTyS,0.180459
2vtwuaAGoDPlsLujnfTYEu,1WzAeadSKJhqykZFbJNmQv,0.209353
2vtwuaAGoDPlsLujnfTYEu,1tQ7g3atJDUiwXqwCPQks0,0.205958
2vtwuaAGoDPlsLujnfTYEu,0oYyoE6MRQVa64FN9XxU7c,0.191706
2vtwuaAGoDPlsLujnfTYEu,7DSTFdDCDdAaD8hMtAmLzh,0.207414
2vtwuaAGoDPlsLujnfTYEu,3khHZ5Tz9mwLYbEmnCimvq,0.145354
2vtwuaAGoDPlsLujnfTYEu,74neN8NvU5LnqgzBibX6MH,0.213254
11CE50vgrAqz8NTgnUAFdl,0lRtPuJoG47Mhm6a69Uewk,0.179282
11CE50vgrAqz8NTgnUAFdl,0luuUN1kGvQrb8GMSGOdb0,0.18129
11CE50vgrAqz8NTgnUAFdl,0qkdE1C0ufnUISKwhg8Wh6,0.229588
11CE50vgrAqz8NTgnUAFdl,3ZGT5qugV3L6AgB9DswiQp,0.151499
11CE50vgrAqz8NTgnUAFdl,1owAc7B3hoCvn2GXHMUHPJ,0.246547
11CE50vgrAqz8NTgnUAFdl,1G7VT3YnG7u9QHDtnjP7G0,0.247773
11CE50vgrAqz8NTgnUAFdl,5fjoMV6IwPKFsmm0LQuv0m,0.253166
0wQCiHAgUJdlBdRtdrnLFK,57buRfUBYm7fFFoIM78qbs,0.091785
0wQCiHAgUJdlBdRtdrnLFK,10M2Ex445zw585Ducldzkw,0.137669
0wQCiHAgUJdlBdRtdrnLFK,2OXidlnDThZR3zf36k6DVL,0.122086
0wQCiHAgUJdlBdRtdrnLFK,7wt7fEnJpsu9IRMadfc8Xm,0.143497
0wQCiHAgUJdlBdRtdrnLFK,0hQUygAdBv0KxxWWuWhMF2,0.147515
0wQCiHAgUJdlBdRtdrnLFK,5gqlIpczfzjHkSToi7FPK3,0.14421
0wQCiHAgUJdlBdRtdrnLFK,2Lmzw98tabQcaOmjOJF1Eg,0.15681
6u3HTPvOxhVWllNhu07vvA,7lw7DXpbGG8tQFJYRpt2jH,0.161699
6u3HTPvOxhVWllNhu07vvA,5anbo4JjAPHa8UbEmRls05,0.111664
6u3HTPvOxhVWllNhu07vvA,6gEaGQfwz4jUE94R6Om2hu,0.088325
6u3HTPvOxhVWllNhu07vvA,3R7PRbshYPRnT0mS4p02eD,0.183684
6u3HTPvOxhVWllNhu07vvA,7zVCrzzEJU7u24sbJPXA5W,0.201685
6u3HTPvOxhVWllNhu07vvA,1gtl58TMl0fzivv3jO2IE9,0.203257
6u3HTPvOxhVWllNhu07vvA,59Yb6w8DywcHViQUsd85Go,0.204926
3sLWLYFIRgbbvKYhYCyK1D,78vTiLFfciZ5kiryzaWFbk,0.164157
3sLWLYFIRgbbvKYhYCyK1D,1YKTp5PVGuOSivCw5x3IQM,0.123848
3sLWLYFIRgbbvKYhYCyK1D,2intfvINZGxNvyMRZaC7mI,0.120595
3sLWLYFIRgbbvKYhYCyK1D,3RzDfzK5TNMfVvQRTfJmxz,0.181572
3sLWLYFIRgbbvKYhYCyK1D,36kJAxLb04RxqtTETruUKM,0.20361
3sLWLYFIRgbbvKYhYCyK1D,5w9o8SPAR4MHyIqDBl8ux6,0.221759
3sLWLYFIRgbbvKYhYCyK1D,200x8ONbPfFzByUr3fVz46,0.22914
5cYFwgA5dHoqR3xGnlr9ew,7Kqr46BBaC5UOdnDkL65YG,0.190915
5cYFwgA5dHoqR3xGnlr9ew,4BPcGND7l0vR0D2Ky8mJP1,0.0
5cYFwgA5dHoqR3xGnlr9ew,1RApeFN2al65TwLqQ2cVho,0.16669
5cYFwgA5dHoqR3xGnlr9ew,2wrJq5XKLnmhRXHIAf9xBa,0.16621
5cYFwgA5dHoqR3xGnlr9ew,4rhIB4nVYTvB7wi6SrLp6z,0.186366
5cYFwgA5dHoqR3xGnlr9ew,6rFesOvUui282rDwAm8zLo,0.146957
6eb3IuKwccD9xUAOULsBlk,6hES6A4ZOL8MzYpULEfsoZ,0.267785
6eb3IuKwccD9xUAOULsBlk,2tEMqkUo0QCtGOyUATJRxZ,0.262263
6eb3IuKwccD9xUAOULsBlk,5KPjrk4LADrGKL2PSSU1lS,0.238696
6eb3IuKwccD9xUAOULsBlk,1uv9nDXqHJkybUGfVJws3U,0.28791
6eb3IuKwccD9xUAOULsBlk,6scecOoBpMr3jV08gbSW3O,0.290546
6eb3IuKwccD9xUAOULsBlk,0d7MzvPpaFnPuyqCPjWEEt,0.31512
6eb3IuKwccD9xUAOULsBlk,67JdxRxKgYprfdEpb3VqHb,0.318417
14kPhDLHvuDXVlOWS6hzJq,7ogBckkBvJJDRdn2ZNNUb4,0.081278
14kPhDLHvuDXVlOWS6hzJq,3QXRiVwxn7MHstHs11mwkX,0.085784
14kPhDLHvuDXVlOWS6hzJq,0DRMigVA7KEsuCXMOluOjG,0.114886
14kPhDLHvuDXVlOWS6hzJq,3I4WFddKpe2PGZWFh7f10J,0.111968
14kPhDLHvuDXVlOWS6hzJq,20PD57jNOHToaTbVi9ZHpa,0.147673
14kPhDLHvuDXVlOWS6hzJq,6m3GKOLADaMvOT6iwT5FZ4,0.140981
14kPhDLHvuDXVlOWS6hzJq,5VFKfahPr6qgucDOv7oMIh,0.160663
6SLQTs6vHo5aZrKLukqvnk,6qBJhWis1EGlcDvC74PTyS,0.162073
6SLQTs6vHo5aZrKLukqvnk,6m3GKOLADaMvOT6iwT5FZ4,0.139644
6SLQTs6vHo5aZrKLukqvnk,4FQDsvQMu5ny7mY8ehv4vP,0.164558
6SLQTs6vHo5aZrKLukqvnk,20PD57jNOHToaTbVi9ZHpa,0.165675
6SLQTs6vHo5aZrKLukqvnk,0oYyoE6MRQVa64FN9XxU7c,0.187175
6SLQTs6vHo5aZrKLukqvnk,14kPhDLHvuDXVlOWS6hzJq,0.180675
6SLQTs6vHo5aZrKLukqvnk,5dxgUzUSEMddBRjMZk6bj4,0.189696
6kTk6AOcnPguvs1nQ4vUWZ,7A2YSo9trGZ9OlO7w2DICx,0.151363
6kTk6AOcnPguvs1nQ4vUWZ,1PaIRzJB1zB0jCxUPrW9OV,0.182158
6kTk6AOcnPguvs1nQ4vUWZ,7Kqr46BBaC5UOdnDkL65YG,0.155523
6kTk6AOcnPguvs1nQ4vUWZ,42fw0rxRO2xbesF6mJfd4Y,0.185652
6kTk6AOcnPguvs1nQ4vUWZ,0DRMigVA7KEsuCXMOluOjG,0.175216
6kTk6AOcnPguvs1nQ4vUWZ,6TW8hTa1G41tVZ2RVEr9YI,0.187196
5eCl4mczlm5RKfEhprt94p,5WSej8avliNGF113FGCDJL,0.568768
5eCl4mczlm5RKfEhprt94p,0EBP3qfDpCZE2skX3PfbTf,0.567014
5eCl4mczlm5RKfEhprt94p,4waVhpVhVC26pybh8ttm2a,0.252763
5eCl4mczlm5RKfEhprt94p,20hTmPgYgVWwtVgrSr3VFH,0.469116
5eCl4mczlm5RKfEhprt94p,7i6skfKZnPwTvfEm5Vq7lp,0.55809
5eCl4mczlm5RKfEhprt94p,5uJNs7kHNXqmX8MSv52QN9,0.580638
5eCl4mczlm5RKfEhprt94p,7leo97m61VXKzV7b4Na9qa,0.599172
3AiKS1mpEoLLoSR5SuUf9k,1ubwDgxIb5ztWAkYxppOCi,0.218139
3AiKS1mpEoLLoSR5SuUf9k,28mwPMWi59y5SIwOlRHGwi,0.271747
3AiKS1mpEoLLoSR5SuUf9k,6dqQ5mkxySSqJaUfp93U5O,0.284361
3AiKS1mpEoLLoSR5SuUf9k,1SdJjeWaSdVr1Nrcs0WT0R,0.293717
3AiKS1mpEoLLoSR5SuUf9k,3rXCZRMiMZp0feGcYXpwYX,0.302418
3AiKS1mpEoLLoSR5SuUf9k,3xdjjKMcMOFgo1eQrfbogM,0.302649
3AiKS1mpEoLLoSR5SuUf9k,7g0Zfd5J6Hzx9M2fRUMuba,0.308461
2EoIt9vdgFRNW03u5IvFsQ,064SVQsmWl5EF0zahmzkQk,0.234006
2EoIt9vdgFRNW03u5IvFsQ,59Yb6w8DywcHViQUsd85Go,0.243779
2EoIt9vdgFRNW03u5IvFsQ,2LawezPeJhN4AWuSB0GtAU,0.275566
2EoIt9vdgFRNW03u5IvFsQ,5lG3i1d8SozygnpVfbEsAg,0.286365
2EoIt9vdgFRNW03u5IvFsQ,3fgJqcj57xcIJTg5V76tzx,0.295783
2EoIt9vdgFRNW03u5IvFsQ,5IfdDiOJitysgex3qEL0bn,0.304546
3OH23zU0LDZj6RrB9LFCzm,3qFSZXYoXpyjTvlG4jX9hJ,0.176169
3OH23zU0LDZj6RrB9LFCzm,0lKZAkE4ni8ruTOPli9F5k,0.091228
3OH23zU0LDZj6RrB9LFCzm,0JkcxWpvH30Nbtt5kdfjI6,0.203167
3OH23zU0LDZj6RrB9LFCzm,63jfUirW2IkypzR5BYiV8Q,0.212554
3OH23zU0LDZj6RrB9LFCzm,0EBP3qfDpCZE2skX3PfbTf,0.221008
3OH23zU0LDZj6RrB9LFCzm,2GEapH0Gfz5f1UahLkPuKO,0.239466
3OH23zU0LDZj6RrB9LFCzm,79qxwHypONUt3AFq0WPpT9,0.240806
7C2xXcXTr7AItNOMVr1Oul,42fw0rxRO2xbesF6mJfd4Y,0.139131
7C2xXcXTr7AItNOMVr1Oul,1G7VT3YnG7u9QHDtnjP7G0,0.137786
7C2xXcXTr7AItNOMVr1Oul,3opqy7HYeNHQaUwYVS7cLo,0.16365
7C2xXcXTr7AItNOMVr1Oul,7CeX5a1yiPeE9j2e7tHcgX,0.150466
7C2xXcXTr7AItNOMVr1Oul,6TW8hTa1G41tVZ2RVEr9YI,0.119878
7C2xXcXTr7AItNOMVr1Oul,1P3LDx6pTNu44IYNE6ziCU,0.180229
7C2xXcXTr7AItNOMVr1Oul,4rhIB4nVYTvB7wi6SrLp6z,0.182776
21mw38dWyUNZ6fT0mo8aCt,5sp2ZYNA1EwmC6CA3CGxiq,0.19096
21mw38dWyUNZ6fT0mo8aCt,0JkcxWpvH30Nbtt5kdfjI6,0.184307
21mw38dWyUNZ6fT0mo8aCt,6S0UqyKhplRUDKAuSEwvLl,0.121094
21mw38dWyUNZ6fT0mo8aCt,1brnLTvarI9D1hLP6z2Ar8,0.184836
21mw38dWyUNZ6fT0mo8aCt,2rxQMGVafnNaRaXlRMWPde,0.134964
21mw38dWyUNZ6fT0mo8aCt,18q0I5Mz5TbxMf4cWSKql9,0.192851
21mw38dWyUNZ6fT0mo8aCt,5ovVcYo2MvjVydFwFyaaqy,0.19774
46DBOCyDDj0FFnWniwwNVW,1CfnMFQtuay15XHlNGpCQa,0.19965
46DBOCyDDj0FFnWniwwNVW,0dZlCvNl7rcMxdjm3VZqND,0.155365
46DBOCyDDj0FFnWniwwNVW,7mldq42yDuxiUNn08nvzHO,0.186703
46DBOCyDDj0FFnWniwwNVW,2SpEHTbUuebeLkgs9QB7Ue,0.183874
46DBOCyDDj0FFnWniwwNVW,6kw5rCgHgarcLUVQ3ObU7F,0.21938
46DBOCyDDj0FFnWniwwNVW,3FQn5MgSHzxEIPglrsLjHk,0.220692
46DBOCyDDj0FFnWniwwNVW,6Zyz8lsnMFpIrCTuvGurCB,0.22488
1Km9uekyhNf8LzAHflscWg,1KTX7h07fH3MtAzf5bsqHJ,0.288829
1Km9uekyhNf8LzAHflscWg,5f1joOtoMeyppIcJGZQvqJ,0.313111
1Km9uekyhNf8LzAHflscWg,5gviJgBATmGFHnWiQyx4xI,0.257854
1Km9uekyhNf8LzAHflscWg,2tEMqkUo0QCtGOyUATJRxZ,0.3194
1Km9uekyhNf8LzAHflscWg,7KFDQGhs0YtDCjmoayP48I,0.327473
1Km9uekyhNf8LzAHflscWg,5FmALWOtlwXn4clL4i8IPQ,0.329418
1Km9uekyhNf8LzAHflscWg,1iGlm3Lm5sBo5KwFjoNhdo,0.34885
4LILQ0tq8SoF29dkAX6RXf,0ATOzpyZ5IedrZ01QSrEgp,0.271464
4LILQ0tq8SoF29dkAX6RXf,7fPeYkxfPi3ig1OSvR5C1Z,0.266015
4LILQ0tq8SoF29dkAX6RXf,23qRa5APj2X7llu4151g39,0.258209
4LILQ0tq8SoF29dkAX6RXf,7Fq9RwQxSn3kW85PrDUf0M,0.2486
4LILQ0tq8SoF29dkAX6RXf,5IfdDiOJitysgex3qEL0bn,0.277261
4LILQ0tq8SoF29dkAX6RXf,6sxptembJVty4sNtcPMAVz,0.294399
4LILQ0tq8SoF29dkAX6RXf,2xkoyfQ1hUuF8KmlT1hzfI,0.297496
7plI8XMJN3vIlPpSQAeIuR,0PHdf5kceYHURIxLJU1lpt,0.428631
7plI8XMJN3vIlPpSQAeIuR,4RUFaIBvDBchXhoadT8CRM,0.476774
7plI8XMJN3vIlPpSQAeIuR,7thLVTvGXOpJcMEmQPNxU8,0.345262
7plI8XMJN3vIlPpSQAeIuR,2wSZhX2Yvslh1oZFFjj45p,0.494315
7plI8XMJN3vIlPpSQAeIuR,5uU1uuyaUIBOiiUSQG7Wl3,0.497789
7plI8XMJN3vIlPpSQAeIuR,5pz84AeaQR6cwS1TAnK32u,0.516188
7plI8XMJN3vIlPpSQAeIuR,1esj1LFgfyFRbU5brtALfE,0.531837
6WbRhuDhbFXIqKcqOFYEcG,6pMnEX2iBcqQtUyIl1L6Oo,0.255709
6WbRhuDhbFXIqKcqOFYEcG,5rHOjo1bvjdUYH9ViGclLH,0.250641
6WbRhuDhbFXIqKcqOFYEcG,5vXsj8L4DK1gGQ43BBG028,0.276707
6WbRhuDhbFXIqKcqOFYEcG,2GEapH0Gfz5f1UahLkPuKO,0.21077
6WbRhuDhbFXIqKcqOFYEcG,1zR2sUjTQB3LcYaWxoQUs5,0.263959
6WbRhuDhbFXIqKcqOFYEcG,79qxwHypONUt3AFq0WPpT9,0.31353
6WbRhuDhbFXIqKcqOFYEcG,79yxkv3OXHrqvjJkadhOCm,0.188866
6O62mcdQBTU4AwVwLtGAHF,5hy7nPUIveNGkYEesMv0Is,0.184939
6O62mcdQBTU4AwVwLtGAHF,6m239N2EPkMYkN5unIYT9F,0.194672
6O62mcdQBTU4AwVwLtGAHF,5fSKILoPQapUmvK0rRpKsj,0.18563
6O62mcdQBTU4AwVwLtGAHF,4ARjGTiLzJ9KZQMKdb6txM,0.193272
6O62mcdQBTU4AwVwLtGAHF,5n4kMW5dn7MHFhXQuJb9zG,0.171937
6O62mcdQBTU4AwVwLtGAHF,3ZUVp3sovVAVO18KRow3Lo,0.209451
6O62mcdQBTU4AwVwLtGAHF,4pMRIhO6qGmtEIBurzIutp,0.210464
200x8ONbPfFzByUr3fVz46,05UpLy7Xd3eH6ZqHK125YZ,0.170124
200x8ONbPfFzByUr3fVz46,2intfvINZGxNvyMRZaC7mI,0.141236
200x8ONbPfFzByUr3fVz46,3ph79KYuJ2bndNPA2c1tRH,0.185144
200x8ONbPfFzByUr3fVz46,36kJAxLb04RxqtTETruUKM,0.149707
200x8ONbPfFzByUr3fVz46,1AhR2cNx9Kdta7FGvpfQ9H,0.160212
200x8ONbPfFzByUr3fVz46,5w9o8SPAR4MHyIqDBl8ux6,0.148808
200x8ONbPfFzByUr3fVz46,6ndj9mwGI2t50WWLPwLzIM,0.20042
7kljF41HGcnuU4tBRQ8d6k,0xjKyw8MYQY33BlY9bvqCS,0.186015
7kljF41HGcnuU4tBRQ8d6k,1nSYUQngGS5foiagiilbYU,0.157985
7kljF41HGcnuU4tBRQ8d6k,1GIFDbwxGx1jVfroBbzmwh,0.188674
7kljF41HGcnuU4tBRQ8d6k,79mxynFVrkYCXwFEsgZmCX,0.13238
7kljF41HGcnuU4tBRQ8d6k,754GZNuFfUJ0RVPjG8Gwaw,0.190475
7kljF41HGcnuU4tBRQ8d6k,0DAMv2If2x4wHf7q7MZQna,0.197062
7kljF41HGcnuU4tBRQ8d6k,1SXRVPBqTOBlcMSbYwHfFH,0.209881
56OwX1K77V7zsaLKfmW8EU,2KaWUXuvdE28pRmfybj4Gy,0.184142
56OwX1K77V7zsaLKfmW8EU,0f1svjHSiaCJif6noKKVHa,0.151999
56OwX1K77V7zsaLKfmW8EU,5N1OpDajUX3bIMiDEVEK0U,0.192208
56OwX1K77V7zsaLKfmW8EU,6Bs9rgmIcVP39VdnhedfQI,0.206877
56OwX1K77V7zsaLKfmW8EU,5BJSIhaHPpnTkAahlmOQ1h,0.230999
56OwX1K77V7zsaLKfmW8EU,0EnvJBejWaMxn3qAvWV4B9,0.200215
56OwX1K77V7zsaLKfmW8EU,0qgevPEvhJ1XCgzzPZKgFU,0.228876
11y8GSP2ASv8S9n0FiiDva,1eUagnbOw9MjesonPWNkNQ,0.172609
11y8GSP2ASv8S9n0FiiDva,65RFXfpjIRrKrDBAWrBnlx,0.225191
11y8GSP2ASv8S9n0FiiDva,6oDihOuvOytAzuQt3SMDHk,0.250386
11y8GSP2ASv8S9n0FiiDva,5n4kMW5dn7MHFhXQuJb9zG,0.225253
11y8GSP2ASv8S9n0FiiDva,4OGn0e78ezPoLBGgVMPNtH,0.233885
11y8GSP2ASv8S9n0FiiDva,4pMRIhO6qGmtEIBurzIutp,0.241603
11y8GSP2ASv8S9n0FiiDva,6CsGmt0gpkobJSVqLqBQLj,0.264742
2NhyinfLxEiqsgFT814tgM,29zZmiBDLykYYTj7RN6VhV,0.263869
2NhyinfLxEiqsgFT814tgM,5N1OpDajUX3bIMiDEVEK0U,0.250019
2NhyinfLxEiqsgFT814tgM,0f1svjHSiaCJif6noKKVHa,0.295393
2NhyinfLxEiqsgFT814tgM,3tNX7fhcBaSms533LGrQAt,0.330475
2NhyinfLxEiqsgFT814tgM,42LvI584BMZqaGT80UUBNe,0.335945
2NhyinfLxEiqsgFT814tgM,6vQTZKCbXMHlorFFWbznTW,0.33655
2NhyinfLxEiqsgFT814tgM,56OwX1K77V7zsaLKfmW8EU,0.360129
6KBEi0APTBDw4xY0pHdFxl,472vIK1ldetTxRxG3ovaiY,0.194587
6KBEi0APTBDw4xY0pHdFxl,7A2YSo9trGZ9OlO7w2DICx,0.2155
6KBEi0APTBDw4xY0pHdFxl,7mldq42yDuxiUNn08nvzHO,0.23242
6KBEi0APTBDw4xY0pHdFxl,7Kqr46BBaC5UOdnDkL65YG,0.211321
6KBEi0APTBDw4xY0pHdFxl,4rQSLX4qMiUWL81hEQOuPY,0.216973
6KBEi0APTBDw4xY0pHdFxl,1Ukz0CbWzSxCx8IEMGvvIE,0.237546
6KBEi0APTBDw4xY0pHdFxl,0Npdhq5RUQ3C5clbzOZmtQ,0.241147
78vTiLFfciZ5kiryzaWFbk,2intfvINZGxNvyMRZaC7mI,0.148494
78vTiLFfciZ5kiryzaWFbk,3rLEBpW17OHOovVl0kcFKZ,0.153087
78vTiLFfciZ5kiryzaWFbk,1AhR2cNx9Kdta7FGvpfQ9H,0.151853
78vTiLFfciZ5kiryzaWFbk,5w9o8SPAR4MHyIqDBl8ux6,0.156849
